sub,ses,task,acq,run,fd-per,fd-mean,fd-std,fd-max,fd-min,dvars-per,dvars-mean,dvars-std,dvars-max,dvars-min,std_dvars-per,std_dvars-mean,std_dvars-std,std_dvars-max,std_dvars-min
031,0000,rest,,,0.0,0.08777418323667985,0.03680705236050253,0.298395335,0.01341216,99.60629921259843,15.587613604743094,14.40781021632129,243.049042,12.421826,0.7874015748031497,0.977990687747036,0.9039680747451632,15.249269,0.7793640000000001
007,0000,task1,,,0.819672131147541,0.11356925173086414,0.08849298611045166,0.6411295000000001,0.025700850000000046,99.59016393442623,20.490785160493818,26.74889098271583,427.74514800000003,13.477659,2.459016393442623,1.0121539711934153,1.3212766225431603,21.128714000000002,0.665737
007,0000,task2,,,0.0,0.10054938792592599,0.07112859403457798,0.41958745,0.014256200000000028,99.59016393442623,20.668408168724266,26.49058367630894,423.677795,12.037713,2.0491803278688523,1.0352856296296293,1.3269199214403762,21.222126,0.6029720000000001
007,0000,rest,,,0.3937007874015748,0.09941859052173918,0.0599197041410754,0.6542739649999999,0.0220635,99.60629921259843,20.58505836758893,25.049739375322787,411.106842,14.171902,1.968503937007874,0.9979155098814229,1.214352829257752,19.929499,0.687021
008,0000,rest,,,0.0,0.114517505770751,0.057141704950186334,0.4369402800000001,0.025077550000000032,99.60629921259843,21.571418853754924,25.22457380744424,414.96731600000004,15.487706,3.1496062992125986,1.0892153083003955,1.273675723963615,20.953131,0.782028
008,0000,task2,,,0.4098360655737705,0.10525622364032924,0.06418647494766812,0.7161270049999999,0.021370371000000003,99.59016393442623,22.0218082016461,26.89867318386981,427.06658899999996,16.15625,4.918032786885246,1.0830152098765433,1.3228556607317998,21.0028,0.794552
008,0000,task1,,,2.0491803278688523,0.14556325123456798,0.11470482370890764,0.9980859000000001,0.028213099999999987,99.59016393442623,22.36501132098765,28.414015152032437,446.98629800000003,14.765285999999998,4.918032786885246,1.027981312757202,1.3060166338571442,20.545197,0.678669
032,0000,task1,,,7.786885245901639,0.20244204732181068,0.36459360125713175,4.4157269999999995,0.04124570000000001,99.59016393442623,22.248301218107002,28.406379872178537,427.641632,13.908439999999999,5.327868852459017,0.889125851851852,1.1352257759952722,17.090168,0.555834
032,0000,task2,,,6.147540983606557,0.20865615888888883,0.1853740795663072,1.84487475,0.01889049999999991,99.59016393442623,22.926470913580257,26.517767693640163,419.224365,14.483232000000001,3.6885245901639343,0.8380014567901228,0.96926948074985,15.323363,0.5293869999999999
032,0000,rest,,,7.086614173228346,0.20097593914229253,0.3408480616130617,3.02944905,0.025500000000000026,99.60629921259843,22.014750158102746,27.194405000922895,402.596863,13.774138,7.086614173228346,0.8925189565217392,1.1025117241478748,16.322025,0.558429
009,0000,task2,,,0.0,0.0936397809670782,0.05251360404897674,0.4182577840000001,0.017874800000000027,99.59016393442623,19.384405567901226,25.839402789634505,415.796631,14.57993,1.639344262295082,1.0722628600823048,1.429325846692811,23.000101,0.8065
009,0000,task1,,,0.0,0.08532360525514397,0.04473380381089639,0.353611015,0.02354356649999997,99.59016393442623,18.68274204938272,26.287242730780985,422.81695599999995,13.304252000000005,0.819672131147541,1.053798979423869,1.4827304745707068,23.848967000000002,0.750426
009,0000,rest,,,0.0,0.08768356031620549,0.032889878236285586,0.32306048299999995,0.01732330999999997,99.60629921259843,19.295541960474303,24.63248242138079,405.400299,14.508542000000002,0.7874015748031497,0.914341928853755,1.1672392153151425,19.210371,0.687504
010,0000,task2,,,7.377049180327869,0.218840336280247,0.5387703613485061,4.3907815,0.008963309299999979,99.59016393442623,24.11071034979422,34.86334103389305,395.055267,10.580199,6.967213114754099,1.042973818930041,1.5081078575272664,17.089182,0.457675
010,0000,task1,,,14.344262295081966,0.3558367358658436,0.8342225203139949,10.57845365,0.03321540000000001,99.59016393442623,27.58741438683126,33.72309442679602,414.454773,12.204903,8.60655737704918,0.8869430452674892,1.0842068340731634,13.324836,0.392391
010,0000,rest,,,2.7559055118110236,0.10169954010671936,0.14780226950741238,1.57976125,0.023575840000000046,99.60629921259843,17.639282332015796,24.708156683800897,398.311615,11.589509,2.7559055118110236,0.8061955177865607,1.1292752977513725,18.204655,0.5296930000000001
033,0000,rest,,,0.0,0.07181297869790515,0.04410616938792845,0.33337245,0.016044460400000002,99.60629921259843,16.34971402371542,13.311057144875052,224.024368,13.117798,1.5748031496062993,0.9583197865612648,0.7802124484188769,13.130932999999999,0.768885
033,0000,task1,,,18.0327868852459,0.340694987983539,0.5992226733114784,4.38550432,0.02283955000000005,99.59016393442623,33.61492171604939,38.763713891401814,428.890717,14.447147,19.672131147540984,1.219945156378601,1.4068040241457074,15.565206,0.524313
033,0000,task2,,,33.19672131147541,0.9095310065679011,1.7330816355170475,13.5956666,0.021372469999999987,99.59016393442623,57.148178510288055,63.24735789372717,462.742279,14.230926,25.40983606557377,1.22842070781893,1.359524711341379,9.946812,0.305899
011,0000,task1,,,6.967213114754099,0.24316346602057629,0.5544751282906853,6.3816624000000015,0.017733680000000022,99.59016393442623,27.247016777777784,35.765660387363724,471.68634000000003,12.309503,6.967213114754099,0.8355914197530869,1.0968348363930838,14.465328,0.377499
011,0000,task2,,,4.508196721311475,0.14781785444032922,0.18078958080745305,1.6133183000000002,0.015550599999999975,99.59016393442623,23.61252668724279,29.75635440871119,462.851349,11.532831,5.327868852459017,0.9592173950617289,1.2087996319261394,18.802523,0.468501
